"sku","nombreProducto","descripcion","categoriaNombre","colorNombre","colorHex","tallaNombre","precio","precioOferta","stock","sucursal"
"CHO-200-NEG-S","Chompa Oversize","Chompa tejida premium","Chompas","Negro","#111111","S","149","129","9","Sucursal Principal"
"CHO-200-NEG-M","Chompa Oversize","","Chompas","Negro","#111111","M","149","129","8","Sucursal Principal"
"CHO-200-BEI-M","Chompa Oversize","","Chompas","Beige","#D6C6A5","M","152","","7","Sucursal Principal"
"VES-310-AZU-M","Vestido Aura","Vestido casual de temporada","Vestidos","Azul Cobalto","#0047AB","M","179.9","169.9","6","Sucursal Principal"
"VES-310-AZU-L","Vestido Aura","","Vestidos","Azul Cobalto","#0047AB","L","179.9","169.9","5","Sucursal Principal"
"VES-310-ROS-M","Vestido Aura","","Vestidos","Rosa Palo","#E8B4BC","M","182.5","","4","Sucursal Principal"
"SHU-050-BLA-36","Zapatilla Urbana","Zapatilla ligera unisex","Calzado","Blanco","#FFFFFF","36","129","119","12","Sucursal Principal"
"SHU-050-BLA-37","Zapatilla Urbana","","Calzado","Blanco","#FFFFFF","37","129","119","11","Sucursal Principal"
"SHU-050-GRI-37","Zapatilla Urbana","","Calzado","Gris Nube","","37","131","","10","Sucursal Principal"
"POL-777-LIL-M","Polo DryFit","Polo deportivo secado rapido","Polos","Lila Vibrante","#B57EDC","M","69.9","59.9","20","Sucursal Principal"
"POL-777-LIL-L","Polo DryFit","","Polos","Lila Vibrante","#B57EDC","L","69.9","59.9","18","Sucursal Principal"
"POL-777-VER-M","Polo DryFit","","Polos","Verde Lima","#32CD32","M","71.5","","16","Sucursal Principal"
