"sku","nombreProducto","descripcion","categoriaNombre","colorNombre","colorHex","tallaNombre","precio","precioOferta","stock","sucursal"
"POL-001-NEG-M","Polera Basica","Polera de algodon peinado","Poleras","Negro","#111111","M","49.9","39.9","20","Sucursal Principal"
"POL-001-NEG-L","Polera Basica","","Poleras","Negro","#111111","L","49.9","39.9","18","Sucursal Principal"
"POL-001-BLA-M","Polera Basica","","Poleras","Blanco","#FFFFFF","M","49.9","","15","Sucursal Principal"
"POL-001-BLA-L","Polera Basica","","Poleras","Blanco","#FFFFFF","L","49.9","","12","Sucursal Principal"
"JOG-010-GRI-M","Jogger Urban","Jogger fit regular","Pantalones","Gris","#808080","M","89","79","10","Sucursal Principal"
"JOG-010-GRI-L","Jogger Urban","","Pantalones","Gris","#808080","L","89","79","9","Sucursal Principal"
"JOG-010-AZU-M","Jogger Urban","","Pantalones","Azul Marino","#1B2A49","M","92","","8","Sucursal Principal"
"CAM-022-CRE-M","Camisa Lino","Camisa manga larga de lino","Camisas","Crema","#F5F5DC","M","129.5","114.5","7","Sucursal Principal"
"CAM-022-CRE-L","Camisa Lino","","Camisas","Crema","#F5F5DC","L","129.5","114.5","6","Sucursal Principal"
"CAM-022-MUS-M","Camisa Lino","","Camisas","Verde Musgo","","M","132","","5","Sucursal Principal"
